PageNo.,DocName,Year,Prof,Student Name,Neighborhood,Borough,Address,Loc,Latitude,Longitude,DocLink,DocType,Tags
052,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1990,LEONARDO ZYLBERBERG,,GOWANUS CANAL,BROOKLYN,"GOWANUS CANAL, BROOKLYN","-73.9988777, 40.6715865",40.6715865,-73.9988777,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_052.jpg,,
054,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1991,AMY ANDERSON,,GREENWICH VILLAGE,MANHATTAN,"GREENWICH VILLAGE, MANHATTAN","-74.0027418, 40.7335719",40.7335719,-74.0027418,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_054.jpg,,
056,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1991,LAURETTA VINCIARELLI,,MEATPACKING DISTRICT,MANHATTAN,"MEATPACKING DISTRICT, MANHATTAN","-74.0076108, 40.7409865",40.7409865,-74.0076108,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_056.jpg,,
057,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1992,WAYNE BERG,,CITY ISLAND,BRONX,"CITY ISLAND, BRONX","-73.7874983, 40.8468202",40.8468202,-73.7874983,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_057.jpg,,
058,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1992,LYNNE BRESLIN,,CITY ISLAND,BRONX,"CITY ISLAND, BRONX","-73.7874983, 40.8468202",40.8468202,-73.7874983,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_058.jpg,,
059,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1992,KELLER EASTERLING,,CITY ISLAND,BRONX,"CITY ISLAND, BRONX","-73.7874983, 40.8468202",40.8468202,-73.7874983,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_059.jpg,,
060,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1992,SULAN KOLATAN,,CITY ISLAND,BRONX,"CITY ISLAND, BRONX","-73.7874983, 40.8468202",40.8468202,-73.7874983,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_060.jpg,,
062,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1993,STEVEN BRITTAN,,CONEY ISLAND,BROOKLYN,"CONEY ISLAND, BROOKLYN","-73.9707016, 40.5755438",40.5755438,-73.9707016,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_062.jpg,,
063,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1993,ROBERT A.M. STERN & GRANT MARANI,,CONEY ISLAND,BROOKLYN,"CONEY ISLAND, BROOKLYN","-73.9707016, 40.5755438",40.5755438,-73.9707016,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_063.jpg,,
065,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1994,PETER TESTA,,SOUTH BRONX,BRONX,"SOUTH BRONX, BRONX","-73.9184260999999, 40.81767",40.81767,-73.9184261,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_065.jpg,,
067,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1994,WAYNE BERG,,SOUTH BRONX,BRONX,"SOUTH BRONX, BRONX","-73.9184260999999, 40.81767",40.81767,-73.9184261,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_067.jpg,,
069,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1995,PETER TESTA,,,BROOKLYN,", BROOKLYN","-73.9441579, 40.6781784",40.6781784,-73.9441579,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_069.jpg,,
071,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1995,KELLER EASTERLING,,FORT GREENE,BROOKLYN,"FORT GREENE, BROOKLYN","-73.9741873999999, 40.6920638",40.6920638,-73.9741874,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_071.jpg,,
072,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1996,KLAUS HERDOG,,MORNINGSIDE HEIGHTS,MANHATTAN,"MORNINGSIDE HEIGHTS, MANHATTAN","-73.9620581, 40.8105443",40.8105443,-73.9620581,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_072.jpg,,
073,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1996,KELLER EASTERLING,,MORNINGSIDE HEIGHTS,MANHATTAN,"MORNINGSIDE HEIGHTS, MANHATTAN","-73.9620581, 40.8105443",40.8105443,-73.9620581,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_073.jpg,,
074,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1996,KATHERINE DEAN,,MORNINGSIDE HEIGHTS,MANHATTAN,"MORNINGSIDE HEIGHTS, MANHATTAN","-73.9620581, 40.8105443",40.8105443,-73.9620581,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_074.jpg,,
